Youtuber,category,subscribers
T-Series,Music,245000000
YouTube Movies,Film & Animation,170000000
MrBeast,Entertainment,166000000
Cocomelon - Nursery Rhymes,Education,162000000
SET India,Shows,159000000
ýýý Kids Diana Show,People & Blogs,112000000
PewDiePie,Gaming,111000000
Like Nastya,People & Blogs,106000000
Vlad and Niki,Entertainment,98900000
Zee Music Company,Music,96700000
WWE,Sports,96000000
BLACKPINK,People & Blogs,89800000
Sony SAB,Shows,83000000
5-Minute Crafts,Howto & Style,80100000
BANGTANTV,Music,75600000
Justin Bieber,Music,71600000
HYBE LABELS,Music,71300000
Zee TV,Entertainment,70500000
Pinkfong Baby Shark - Kids' Songs & Stories,Education,68200000
Canal KondZilla,Music,66500000
ChuChu TV Nursery Rhymes & Kids Songs,Education,65900000
Shemaroo Filmi Gaane,Music,65600000
Colors TV,Shows,64600000
T-Series Bhakti Sagar,Music,61000000
Dude Perfect,Sports,59500000
Movieclips,Film & Animation,59500000
Tips Official,Music,59300000
El Reino Infantil,Music,58400000
Wave Music,Music,58000000
Aaj Tak,News & Politics,57600000
Sony Music India,Music,57200000
EminemMusic,Music,56900000
Marshmello,Entertainment,56400000
YRF,Film & Animation,54600000
Ed Sheeran,Music,53500000
Infobells - Hindi,Education,53300000
Taylor Swift,Music,52900000
Ariana Grande,Music,52700000
BillionSurpriseToys  - Nursery Rhymes & Cartoons,Education,52200000
JuegaGerman,Gaming,48100000
Billie Eilish,Music,47900000
Get Movies,Entertainment,47500000
Shemaroo,Entertainment,47400000
SonyMusicIndiaVEVO,Music,46600000
A4,Gaming,46300000
Ferfloo,Gaming,46100000
Voot Kids,Entertainment,45500000
Felipe Neto,Entertainment,45200000
Vocï¿½ï¿½ï¿½,Entertainment,44700000
